Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,.EGX100EWI,17425.88,17526.49,17299.43,17343.70,944130000
2026-01-05,.EGX100EWI,17343.70,17377.23,17052.87,17098.31,1030000000
2026-01-06,.EGX100EWI,17098.31,17322.78,17105.99,17313.95,657770000
2026-01-08,.EGX100EWI,17313.95,17420.64,17218.46,17218.46,1130000000
2026-01-11,.EGX100EWI,17218.46,17396.23,17252.35,17373.80,1110000000
2026-01-12,.EGX100EWI,17373.80,17486.48,17215.13,17255.43,963210000
2026-01-13,.EGX100EWI,17255.43,17321.75,17004.38,17004.38,860820000
2026-01-14,.EGX100EWI,17004.38,17006.19,16488.36,16648.52,879390000
2026-01-15,.EGX100EWI,16648.52,16768.79,16388.83,16435.85,716900000
2026-01-18,.EGX100EWI,16435.85,16768.92,16449.81,16768.92,490690000
2026-01-19,.EGX100EWI,16768.92,17023.82,16779.31,17023.82,764950000
2026-01-20,.EGX100EWI,17023.82,17186.18,17047.86,17092.09,1100000000
2026-01-21,.EGX100EWI,17092.09,17234.88,17007.99,17223.96,1090000000
2026-01-22,.EGX100EWI,17223.96,17402.81,17256.05,17317.95,985170000
2026-01-25,.EGX100EWI,17317.95,17448.44,17293.26,17312.85,1080000000
2026-01-26,.EGX100EWI,17312.85,17408.31,17265.42,17283.05,963210000
2026-01-27,.EGX100EWI,17283.05,17361.24,17176.23,17184.58,1060000000
2026-01-28,.EGX100EWI,17184.58,17253.62,16808.94,16827.71,1180000000
2026-02-01,.EGX100EWI,16827.71,17098.42,16777.91,17098.42,1400000000
2026-02-02,.EGX100EWI,17098.42,17207.75,17068.36,17207.75,1370000000
2026-02-03,.EGX100EWI,17207.75,17561.51,17217.29,17561.51,1270000000
2026-02-04,.EGX100EWI,17561.51,17739.98,17586.26,17689.85,2360000000
2026-02-05,.EGX100EWI,17689.85,17759.16,17509.39,17661.76,1670000000
2026-02-08,.EGX100EWI,17661.76,17897.28,17703.54,17840.25,1660000000
2026-02-09,.EGX100EWI,17840.25,17926.91,17826.37,17872.02,1260000000
2026-02-10,.EGX100EWI,17872.02,17983.51,17880.01,17928.03,2130000000
2026-02-11,.EGX100EWI,17928.03,17994.80,17810.48,17818.63,1650000000
2026-02-12,.EGX100EWI,17818.63,17938.29,17801.91,17929.64,1250000000
2026-02-15,.EGX100EWI,17929.64,18205.27,17956.11,18205.27,1310000000
2026-02-16,.EGX100EWI,18205.27,18296.47,17969.37,17975.93,1550000000
2026-02-17,.EGX100EWI,17975.93,18142.06,17962.53,18133.68,1160000000
2026-02-18,.EGX100EWI,18133.68,18339.70,18167.44,18339.70,1440000000
2026-02-19,.EGX100EWI,18339.70,18376.37,17800.07,17804.10,986380000
2026-02-22,.EGX100EWI,17804.10,17892.56,17354.59,17409.59,808250000
2026-02-23,.EGX100EWI,17409.59,17816.26,17409.09,17816.26,794250000
2026-02-24,.EGX100EWI,17816.26,17855.73,17680.52,17695.95,1070000000
2026-02-25,.EGX100EWI,17695.95,17750.77,17111.00,17231.03,996170000
2026-02-26,.EGX100EWI,17231.03,17390.19,17136.15,17343.83,904610000
2026-03-01,.EGX100EWI,17343.83,16867.13,16072.40,16837.44,821580000
2026-03-02,.EGX100EWI,16837.44,17081.94,16844.54,16911.94,1170000000
2026-03-03,.EGX100EWI,16911.94,16956.52,16730.71,16940.61,1050000000
2026-03-04,.EGX100EWI,16940.61,17058.30,16814.06,17052.96,990600000
2026-03-05,.EGX100EWI,17052.96,17325.51,17098.74,17259.93,1520000000
2026-03-08,.EGX100EWI,17259.93,17528.21,17355.84,17497.47,1430000000
2026-03-09,.EGX100EWI,17497.47,17613.24,17419.97,17510.80,1310000000
2026-03-10,.EGX100EWI,17510.80,17707.08,17521.77,17704.36,1090000000
2026-03-11,.EGX100EWI,17704.36,17868.19,17725.37,17861.66,1250000000
2026-03-12,.EGX100EWI,17861.66,17955.99,17772.04,17787.26,1060000000
2026-03-15,.EGX100EWI,17787.26,17825.71,17551.20,17551.20,795820000
2026-03-16,.EGX100EWI,17551.20,17585.25,17250.14,17300.46,765490000
2026-03-17,.EGX100EWI,17300.46,17531.20,17307.48,17488.25,779250000
2026-03-18,.EGX100EWI,17488.25,17694.18,17495.56,17666.51,1280000000
2026-03-24,.EGX100EWI,17666.51,17854.48,17701.25,17811.59,1830000000
2026-03-25,.EGX100EWI,17811.59,17932.60,17835.10,17878.03,1620000000
2026-03-26,.EGX100EWI,17878.03,17926.05,17722.36,17722.36,1610000000
2026-03-29,.EGX100EWI,17722.36,17749.20,17558.84,17587.26,1260000000
