Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,.EGX30CAP,51568.39,51782.16,50440.29,50440.29,196770000
2026-01-05,.EGX30CAP,50440.29,50738.94,49497.64,50061.63,316980000
2026-01-06,.EGX30CAP,50061.63,51261.12,50090.09,51142.65,148790000
2026-01-08,.EGX30CAP,51142.65,51759.73,51160.48,51475.26,197050000
2026-01-11,.EGX30CAP,51475.26,52685.96,51858.86,52588.98,265160000
2026-01-12,.EGX30CAP,52588.98,53021.58,52477.11,52660.14,245010000
2026-01-13,.EGX30CAP,52660.14,53421.38,52481.82,52535.65,255290000
2026-01-14,.EGX30CAP,52535.65,52540.69,51225.13,51871.49,246650000
2026-01-15,.EGX30CAP,51871.49,52672.20,51640.65,51891.10,155760000
2026-01-18,.EGX30CAP,51891.10,52800.74,51957.38,52653.43,150090000
2026-01-19,.EGX30CAP,52653.43,54092.28,52658.55,54092.28,225400000
2026-01-20,.EGX30CAP,54092.28,55694.47,54287.10,55180.51,362880000
2026-01-21,.EGX30CAP,55180.51,55478.03,54838.71,55362.98,421040000
2026-01-22,.EGX30CAP,55362.98,56307.16,55391.80,55901.72,308810000
2026-01-25,.EGX30CAP,55901.72,56699.55,55925.04,56369.94,276990000
2026-01-26,.EGX30CAP,56369.94,57121.24,56363.43,57121.24,345850000
2026-01-27,.EGX30CAP,57121.24,57490.20,57062.46,57414.42,228820000
2026-01-28,.EGX30CAP,57414.42,57867.18,56817.17,57223.15,241030000
2026-02-01,.EGX30CAP,57223.15,57354.92,56634.09,57354.92,411170000
2026-02-02,.EGX30CAP,57354.92,57551.98,56710.46,57551.98,624580000
2026-02-03,.EGX30CAP,57551.98,59553.57,57578.69,59214.34,500490000
2026-02-04,.EGX30CAP,59214.34,59907.03,59242.46,59780.10,489470000
2026-02-05,.EGX30CAP,59780.10,60069.04,59053.07,59850.63,411430000
2026-02-08,.EGX30CAP,59850.63,60767.06,60041.76,60475.04,525290000
2026-02-09,.EGX30CAP,60475.04,60974.05,60364.83,60878.24,399980000
2026-02-10,.EGX30CAP,60878.24,61387.31,60597.98,60929.43,463530000
2026-02-11,.EGX30CAP,60929.43,61122.46,60211.38,60211.38,401070000
2026-02-12,.EGX30CAP,60211.38,60942.84,60070.61,60942.84,554360000
2026-02-15,.EGX30CAP,60942.84,63117.21,60994.72,63117.21,502620000
2026-02-16,.EGX30CAP,63117.21,63744.08,62115.76,62161.62,571230000
2026-02-17,.EGX30CAP,62161.62,62934.71,62005.54,62544.94,430090000
2026-02-18,.EGX30CAP,62544.94,63274.65,62643.38,63274.65,586910000
2026-02-19,.EGX30CAP,63274.65,63479.22,61203.02,61203.02,344600000
2026-02-22,.EGX30CAP,61203.02,61725.53,59302.81,59864.21,258600000
2026-02-23,.EGX30CAP,59864.21,61338.75,59836.65,61338.75,364820000
2026-02-24,.EGX30CAP,61338.75,61603.67,60717.88,60828.24,614340000
2026-02-25,.EGX30CAP,60828.24,60876.62,58356.58,59393.44,412020000
2026-02-26,.EGX30CAP,59393.44,59641.39,58737.05,59515.35,355130000
2026-03-01,.EGX30CAP,59515.35,58119.43,55847.78,58051.26,355580000
2026-03-02,.EGX30CAP,58051.26,58400.53,57610.39,57822.67,344200000
2026-03-03,.EGX30CAP,57822.67,57829.27,56345.93,56877.58,390720000
2026-03-04,.EGX30CAP,56877.58,57142.32,55200.58,56761.49,424030000
2026-03-05,.EGX30CAP,56761.49,58147.40,57239.74,57839.52,443410000
2026-03-08,.EGX30CAP,57839.52,58264.59,57110.58,57211.15,523460000
2026-03-09,.EGX30CAP,57211.15,57634.52,56064.22,56508.83,575020000
2026-03-10,.EGX30CAP,56508.83,57785.89,56682.09,57785.89,424000000
2026-03-11,.EGX30CAP,57785.89,58085.62,57429.11,57429.11,247870000
2026-03-12,.EGX30CAP,57429.11,58181.58,57081.30,57225.57,535830000
2026-03-15,.EGX30CAP,57225.57,57452.66,56291.64,56291.64,371870000
2026-03-16,.EGX30CAP,56291.64,56684.83,55157.77,55345.15,294110000
2026-03-17,.EGX30CAP,55345.15,56673.93,55402.28,56398.91,252860000
2026-03-18,.EGX30CAP,56398.91,57508.99,56413.77,57508.99,362310000
2026-03-24,.EGX30CAP,57508.99,57757.61,57171.76,57171.76,448600000
2026-03-25,.EGX30CAP,57171.76,57991.98,57277.14,57810.60,444910000
2026-03-26,.EGX30CAP,57810.60,58035.88,57165.95,57165.95,320600000
2026-03-29,.EGX30CAP,57165.95,57234.97,56259.99,56414.54,514610000
2026-03-30,.EGX30CAP,56414.54,56588.77,54875.50,55012.79,538790000
2026-03-31,.EGX30CAP,55012.79,55442.62,54849.12,55061.52,571590000
2026-04-01,.EGX30CAP,55061.52,56771.08,55374.83,56771.08,441140000
2026-04-02,.EGX30CAP,56771.08,56705.69,56014.68,56354.47,544810000
2026-04-05,.EGX30CAP,56354.47,57371.20,56442.87,57348.20,463330000
2026-04-06,.EGX30CAP,57348.20,58044.95,57411.81,57822.33,392060000
2026-04-07,.EGX30CAP,57822.33,57627.51,57000.39,57055.15,522920000
2026-04-08,.EGX30CAP,57055.15,59340.54,58062.73,59294.72,631500000
2026-04-09,.EGX30CAP,59294.72,59873.19,59004.34,59837.31,368200000
2026-04-12,.EGX30CAP,59837.31,59837.31,59837.31,59837.31,368200000
2026-04-14,.EGX30CAP,59837.31,60713.25,59952.17,60647.22,330940000
2026-04-15,.EGX30CAP,60647.22,61383.15,60689.83,61370.03,450750000
2026-04-16,.EGX30CAP,61370.03,62183.04,61450.72,62145.89,767940000
2026-04-19,.EGX30CAP,62145.89,63758.12,62795.80,63345.94,564770000
2026-04-20,.EGX30CAP,63345.94,63297.13,62211.01,62771.16,415880000
2026-04-21,.EGX30CAP,62771.16,63324.23,62840.55,63117.78,649290000
2026-04-22,.EGX30CAP,63117.78,63757.34,63164.73,63447.03,816090000
2026-04-23,.EGX30CAP,63447.03,64086.69,63501.08,63868.75,888720000
2026-04-26,.EGX30CAP,63868.75,64268.66,63845.70,63992.03,699410000
2026-04-27,.EGX30CAP,63992.03,64326.66,63811.61,64275.69,341830000
2026-04-28,.EGX30CAP,64275.69,64495.69,63701.26,63758.13,402730000
2026-04-29,.EGX30CAP,63758.13,63959.48,63587.12,63880.83,420470000
2026-04-30,.EGX30CAP,63880.83,64123.91,63161.33,63298.55,637540000
2026-05-03,.EGX30CAP,63298.55,64109.49,63387.60,64026.06,700540000
2026-05-04,.EGX30CAP,64026.06,64437.27,63365.93,63611.90,692000000
2026-05-05,.EGX30CAP,63611.90,64194.58,62810.57,64137.81,496940000
2026-05-06,.EGX30CAP,64137.81,65848.49,64352.76,65338.38,738670000
2026-05-10,.EGX30CAP,65338.38,66681.51,65746.40,66681.51,675820000
2026-05-11,.EGX30CAP,66681.51,67174.66,66491.18,66507.47,647560000
2026-05-12,.EGX30CAP,66507.47,66773.62,65924.17,66226.73,471520000
2026-05-13,.EGX30CAP,66226.73,66556.88,65415.43,65666.34,432250000
2026-05-14,.EGX30CAP,65666.34,65885.24,65199.76,65499.31,746780000
2026-05-17,.EGX30CAP,65499.31,65571.19,64426.74,64466.25,681940000
2026-05-18,.EGX30CAP,64466.25,64770.13,63867.00,64096.37,564220000
2026-05-19,.EGX30CAP,64096.37,65245.22,64139.77,65035.89,478590000
2026-05-20,.EGX30CAP,65035.89,65380.99,63963.17,63963.17,435380000
2026-05-21,.EGX30CAP,63963.17,64269.16,63745.63,64226.58,368540000
2026-05-24,.EGX30CAP,64226.58,65077.30,64463.71,64869.31,365870000
2026-05-25,.EGX30CAP,64869.31,65212.77,64554.72,64918.63,386020000
2026-06-01,.EGX30CAP,64918.63,65520.69,64928.34,65368.92,463750000
2026-06-02,.EGX30CAP,65368.92,65664.56,65333.18,65384.99,499350000
2026-06-03,.EGX30CAP,65384.99,65536.55,64592.42,64912.01,437440000
2026-06-04,.EGX30CAP,64912.01,65053.93,64700.41,64969.23,508810000
2026-06-07,.EGX30CAP,64969.23,64864.98,64158.82,64232.69,521920000
2026-06-08,.EGX30CAP,64232.69,64625.73,63754.20,64075.13,708240000
2026-06-09,.EGX30CAP,64075.13,64738.64,64199.63,64485.93,336700000
2026-06-10,.EGX30CAP,64485.93,64521.66,62953.54,62998.71,452600000
2026-06-11,.EGX30CAP,62998.71,62938.00,62146.77,62249.00,308960000
2026-06-14,.EGX30CAP,62249.00,63932.30,63304.75,63686.45,395860000
2026-06-15,.EGX30CAP,63686.45,64249.88,63732.67,64167.13,546610000
2026-06-16,.EGX30CAP,64167.13,64212.70,63790.20,63931.30,359490000
2026-06-17,.EGX30CAP,63931.30,64469.94,63850.83,64379.63,360940000
2026-06-21,.EGX30CAP,64379.63,64798.38,64375.70,64504.61,328630000
2026-06-22,.EGX30CAP,64504.61,64662.38,64278.73,64469.37,349270000
2026-06-23,.EGX30CAP,64469.37,64606.29,63463.17,63492.33,433380000
2026-06-24,.EGX30CAP,63492.33,63815.83,63211.85,63571.34,256180000
