Date,Ticker,Open,High,Low,Close,Volume
2026-01-04,.EGX30USD,2916.00,2916.00,2916.00,2916.00,0
2026-01-05,.EGX30USD,2917.00,2917.00,2917.00,2917.00,0
2026-01-06,.EGX30USD,2983.00,2983.00,2983.00,2983.00,0
2026-01-08,.EGX30USD,3005.00,3005.00,3005.00,3005.00,0
2026-01-11,.EGX30USD,3084.00,3084.00,3084.00,3084.00,0
2026-01-12,.EGX30USD,3124.00,3124.00,3124.00,3124.00,0
2026-01-13,.EGX30USD,3146.00,3146.00,3146.00,3146.00,0
2026-01-14,.EGX30USD,3087.00,3087.00,3087.00,3087.00,0
2026-01-15,.EGX30USD,3111.00,3111.00,3111.00,3111.00,0
2026-01-18,.EGX30USD,3148.00,3148.00,3148.00,3148.00,0
2026-01-19,.EGX30USD,3224.00,3224.00,3224.00,3224.00,0
2026-01-20,.EGX30USD,3280.00,3280.00,3280.00,3280.00,0
2026-01-21,.EGX30USD,3298.00,3298.00,3298.00,3298.00,0
2026-01-22,.EGX30USD,3344.00,3344.00,3344.00,3344.00,0
2026-01-25,.EGX30USD,3379.00,3379.00,3379.00,3379.00,0
2026-01-26,.EGX30USD,3425.00,3425.00,3425.00,3425.00,0
2026-01-27,.EGX30USD,3451.00,3451.00,3451.00,3451.00,0
2026-01-28,.EGX30USD,3457.00,3457.00,3457.00,3457.00,0
2026-02-01,.EGX30USD,3432.00,3432.00,3432.00,3432.00,0
2026-02-02,.EGX30USD,3432.00,3432.00,3432.00,3432.00,0
2026-02-03,.EGX30USD,3537.00,3537.00,3537.00,3537.00,0
2026-02-04,.EGX30USD,3590.00,3590.00,3590.00,3590.00,0
2026-02-05,.EGX30USD,3595.00,3595.00,3595.00,3595.00,0
2026-02-08,.EGX30USD,3617.00,3617.00,3617.00,3617.00,0
2026-02-09,.EGX30USD,3640.00,3640.00,3640.00,3640.00,0
2026-02-10,.EGX30USD,3648.00,3648.00,3648.00,3648.00,0
2026-02-11,.EGX30USD,3600.00,3600.00,3600.00,3600.00,0
2026-02-12,.EGX30USD,3660.00,3660.00,3660.00,3660.00,0
2026-02-15,.EGX30USD,3795.00,3795.00,3795.00,3795.00,0
2026-02-16,.EGX30USD,3736.00,3736.00,3736.00,3736.00,0
2026-02-17,.EGX30USD,3741.00,3741.00,3741.00,3741.00,0
2026-02-18,.EGX30USD,3770.00,3770.00,3770.00,3770.00,0
2026-02-19,.EGX30USD,3614.00,3614.00,3614.00,3614.00,0
2026-02-22,.EGX30USD,3518.00,3518.00,3518.00,3518.00,0
2026-02-23,.EGX30USD,3617.00,3617.00,3617.00,3617.00,0
2026-02-24,.EGX30USD,3570.00,3570.00,3570.00,3570.00,0
2026-02-25,.EGX30USD,3469.00,3469.00,3469.00,3469.00,0
2026-02-26,.EGX30USD,3485.00,3485.00,3485.00,3485.00,0
2026-03-02,.EGX30USD,3288.00,3288.00,3288.00,3288.00,0
2026-03-03,.EGX30USD,3179.00,3179.00,3179.00,3179.00,0
2026-03-04,.EGX30USD,3141.00,3141.00,3141.00,3141.00,0
2026-03-05,.EGX30USD,3215.00,3215.00,3215.00,3215.00,0
2026-03-08,.EGX30USD,3043.00,3043.00,3043.00,3043.00,0
2026-03-09,.EGX30USD,2984.00,2984.00,2984.00,2984.00,0
2026-03-10,.EGX30USD,3119.00,3119.00,3119.00,3119.00,0
2026-03-11,.EGX30USD,3081.00,3081.00,3081.00,3081.00,0
2026-03-12,.EGX30USD,3028.00,3028.00,3028.00,3028.00,0
2026-03-15,.EGX30USD,2966.00,2966.00,2966.00,2966.00,0
2026-03-16,.EGX30USD,2928.00,2928.00,2928.00,2928.00,0
2026-03-17,.EGX30USD,2985.00,2985.00,2985.00,2985.00,0
2026-03-18,.EGX30USD,3086.00,3086.00,3086.00,3086.00,0
2026-03-24,.EGX30USD,3023.00,3023.00,3023.00,3023.00,0
2026-03-25,.EGX30USD,3065.00,3065.00,3065.00,3065.00,0
2026-03-26,.EGX30USD,3020.00,3020.00,3020.00,3020.00,0
2026-03-29,.EGX30USD,2939.00,2939.00,2939.00,2939.00,0
2026-03-30,.EGX30USD,2810.00,2810.00,2810.00,2810.00,0
2026-03-31,.EGX30USD,2818.00,2818.00,2818.00,2818.00,0
2026-04-01,.EGX30USD,2958.00,2958.00,2958.00,2958.00,0
2026-04-02,.EGX30USD,2897.00,2897.00,2897.00,2897.00,0
2026-04-05,.EGX30USD,2944.00,2944.00,2944.00,2944.00,0
2026-04-06,.EGX30USD,2971.00,2971.00,2971.00,2971.00,0
2026-04-07,.EGX30USD,2896.00,2896.00,2896.00,2896.00,0
2026-04-09,.EGX30USD,3135.00,3135.00,3135.00,3135.00,0
2026-04-14,.EGX30USD,3230.00,3230.00,3230.00,3230.00,0
2026-04-15,.EGX30USD,3311.00,3311.00,3311.00,3311.00,0
2026-04-16,.EGX30USD,3369.00,3369.00,3369.00,3369.00,0
2026-04-19,.EGX30USD,3435.00,3435.00,3435.00,3435.00,0
2026-04-20,.EGX30USD,3382.00,3382.00,3382.00,3382.00,0
2026-04-21,.EGX30USD,3407.00,3407.00,3407.00,3407.00,0
2026-04-22,.EGX30USD,3391.00,3391.00,3391.00,3391.00,0
2026-04-23,.EGX30USD,3378.00,3378.00,3378.00,3378.00,0
2026-04-27,.EGX30USD,3404.00,3404.00,3404.00,3404.00,0
2026-04-28,.EGX30USD,3354.00,3354.00,3354.00,3354.00,0
2026-04-29,.EGX30USD,3352.00,3352.00,3352.00,3352.00,0
2026-04-30,.EGX30USD,3276.00,3276.00,3276.00,3276.00,0
2026-05-03,.EGX30USD,3317.00,3317.00,3317.00,3317.00,0
2026-05-04,.EGX30USD,3295.00,3295.00,3295.00,3295.00,0
2026-05-05,.EGX30USD,3319.00,3319.00,3319.00,3319.00,0
2026-05-06,.EGX30USD,3452.00,3452.00,3452.00,3452.00,0
2026-05-10,.EGX30USD,3527.00,3527.00,3527.00,3527.00,0
2026-05-11,.EGX30USD,3500.00,3500.00,3500.00,3500.00,0
2026-05-12,.EGX30USD,3465.00,3465.00,3465.00,3465.00,0
2026-05-13,.EGX30USD,3425.00,3425.00,3425.00,3425.00,0
2026-05-14,.EGX30USD,3410.00,3410.00,3410.00,3410.00,0
2026-05-17,.EGX30USD,3335.00,3335.00,3335.00,3335.00,0
2026-05-18,.EGX30USD,3310.00,3310.00,3310.00,3310.00,0
2026-05-19,.EGX30USD,3371.00,3371.00,3371.00,3371.00,0
2026-05-20,.EGX30USD,3299.00,3299.00,3299.00,3299.00,0
2026-05-21,.EGX30USD,3340.00,3340.00,3340.00,3340.00,0
2026-05-24,.EGX30USD,3429.00,3429.00,3429.00,3429.00,0
2026-05-25,.EGX30USD,3418.00,3418.00,3418.00,3418.00,0
2026-06-01,.EGX30USD,3449.00,3449.00,3449.00,3449.00,0
2026-06-02,.EGX30USD,3463.00,3463.00,3463.00,3463.00,0
