Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,.EGXTBONDS,1497.36,1498.63,1486.18,1495.78,0
2024-01-03,.EGXTBONDS,1495.78,1496.42,1486.83,1488.28,0
2024-01-04,.EGXTBONDS,1488.28,1489.74,1488.28,1489.74,0
2024-01-08,.EGXTBONDS,1489.74,1506.01,1489.74,1499.83,0
2024-01-09,.EGXTBONDS,1499.83,1500.47,1489.69,1489.87,0
2024-01-10,.EGXTBONDS,1489.87,1500.17,1489.87,1498.81,0
2024-01-11,.EGXTBONDS,1498.81,1499.46,1489.21,1489.21,0
2024-01-14,.EGXTBONDS,1489.21,1493.76,1455.38,1492.46,0
2024-01-15,.EGXTBONDS,1492.46,1493.12,1449.40,1467.00,0
2024-01-16,.EGXTBONDS,1467.00,1495.83,1458.46,1494.12,0
2024-01-17,.EGXTBONDS,1494.12,1496.76,1458.90,1496.66,0
2024-01-18,.EGXTBONDS,1496.66,1497.32,1462.20,1462.20,0
2024-01-21,.EGXTBONDS,1462.20,1472.63,1460.62,1472.56,0
2024-01-22,.EGXTBONDS,1472.56,1473.36,1457.08,1458.30,0
2024-01-23,.EGXTBONDS,1458.30,1492.30,1455.91,1492.30,0
2024-01-24,.EGXTBONDS,1492.30,1492.96,1460.86,1464.76,0
2024-01-28,.EGXTBONDS,1464.76,1467.41,1458.67,1465.68,0
2024-01-29,.EGXTBONDS,1465.68,1466.34,1460.46,1461.73,0
2024-01-30,.EGXTBONDS,1461.73,1470.07,1461.73,1470.07,0
2024-01-31,.EGXTBONDS,1470.07,1471.16,1458.61,1458.84,0
2024-02-01,.EGXTBONDS,1458.84,1476.27,1458.84,1463.62,0
2024-02-04,.EGXTBONDS,1463.62,1511.51,1440.80,1507.48,0
2024-02-05,.EGXTBONDS,1507.48,1540.12,1466.97,1499.22,0
2024-02-06,.EGXTBONDS,1499.22,1500.86,1463.16,1471.91,0
2024-02-07,.EGXTBONDS,1471.91,1472.70,1470.86,1470.96,0
2024-02-08,.EGXTBONDS,1470.96,1478.73,1470.96,1477.44,0
2024-02-11,.EGXTBONDS,1477.44,1479.50,1473.05,1473.05,0
2024-02-12,.EGXTBONDS,1473.05,1489.68,1473.05,1489.68,0
2024-02-13,.EGXTBONDS,1489.68,1490.37,1448.61,1459.98,0
2024-02-14,.EGXTBONDS,1459.98,1485.10,1438.52,1474.76,0
2024-02-15,.EGXTBONDS,1474.76,1475.45,1439.21,1456.01,0
2024-02-18,.EGXTBONDS,1456.01,1458.07,1456.01,1458.07,0
2024-02-19,.EGXTBONDS,1458.07,1462.67,1458.07,1462.67,0
2024-02-20,.EGXTBONDS,1462.67,1473.25,1462.67,1473.25,0
2024-02-21,.EGXTBONDS,1473.25,1481.33,1473.25,1481.33,0
2024-02-22,.EGXTBONDS,1481.33,1524.30,1481.33,1524.30,0
2024-02-25,.EGXTBONDS,1524.30,1530.38,1524.30,1530.38,0
2024-02-26,.EGXTBONDS,1530.38,1531.07,1501.39,1517.98,0
2024-02-27,.EGXTBONDS,1517.98,1518.67,1499.12,1499.12,0
2024-02-28,.EGXTBONDS,1499.12,1499.81,1495.43,1495.78,0
2024-02-29,.EGXTBONDS,1495.78,1497.60,1495.78,1497.60,0
2024-03-03,.EGXTBONDS,1497.60,1500.69,1458.03,1461.10,0
2024-03-04,.EGXTBONDS,1461.10,1464.19,1461.10,1464.19,0
2024-03-05,.EGXTBONDS,1464.19,1471.14,1464.19,1471.01,0
2024-03-06,.EGXTBONDS,1471.01,1474.39,1468.55,1468.79,0
2024-03-07,.EGXTBONDS,1468.79,1469.49,1468.79,1469.49,0
2024-03-10,.EGXTBONDS,1469.49,1524.33,1469.49,1504.90,0
2024-03-11,.EGXTBONDS,1504.90,1505.59,1504.90,1505.59,0
2024-03-12,.EGXTBONDS,1505.59,1511.84,1502.26,1502.29,0
2024-03-13,.EGXTBONDS,1502.29,1503.01,1502.29,1503.01,0
2024-03-14,.EGXTBONDS,1503.01,1503.71,1503.01,1503.71,0
2024-03-17,.EGXTBONDS,1503.71,1505.80,1503.71,1505.80,0
2024-03-18,.EGXTBONDS,1505.80,1511.60,1496.87,1507.00,0
2024-03-19,.EGXTBONDS,1507.00,1507.70,1507.00,1507.70,0
2024-03-20,.EGXTBONDS,1507.70,1530.24,1507.70,1530.24,0
2024-03-21,.EGXTBONDS,1530.24,1530.94,1530.24,1530.67,0
