Date,Ticker,Open,High,Low,Close,Volume
2024-06-13,.SHARIAH,2554.88,2609.72,2554.43,2609.72,109630000
2024-06-23,.SHARIAH,2609.72,2677.92,2609.72,2677.59,150780000
2024-06-24,.SHARIAH,2677.59,2701.39,2660.88,2660.88,164230000
2024-06-25,.SHARIAH,2660.88,2715.44,2636.58,2710.34,131850000
2024-06-26,.SHARIAH,2710.34,2741.06,2702.87,2722.58,261910000
2024-06-27,.SHARIAH,2722.58,2755.39,2722.42,2736.18,189050000
2024-07-01,.SHARIAH,2736.18,2779.14,2736.18,2762.94,148190000
2024-07-02,.SHARIAH,2762.94,2787.72,2762.94,2774.97,247410000
2024-07-03,.SHARIAH,2774.97,2809.12,2774.54,2783.32,205970000
2024-07-04,.SHARIAH,2783.32,2796.86,2767.13,2768.98,126750000
2024-07-07,.SHARIAH,2768.98,2792.83,2768.98,2775.25,177990000
2024-07-08,.SHARIAH,2775.25,2793.77,2748.37,2752.43,158570000
2024-07-09,.SHARIAH,2752.43,2764.47,2739.47,2756.20,115900000
2024-07-10,.SHARIAH,2756.20,2778.36,2732.49,2733.80,93760000
2024-07-14,.SHARIAH,2733.80,2749.03,2699.31,2701.99,66240000
2024-07-15,.SHARIAH,2701.99,2724.62,2694.56,2701.89,67310000
2024-07-16,.SHARIAH,2701.89,2717.18,2681.26,2681.26,101100000
2024-07-17,.SHARIAH,2681.26,2738.21,2681.26,2738.21,139920000
2024-07-18,.SHARIAH,2738.21,2793.09,2738.21,2776.07,172710000
2024-07-21,.SHARIAH,2776.07,2795.95,2774.50,2781.37,123410000
2024-07-22,.SHARIAH,2781.37,2808.32,2766.97,2774.72,146260000
2024-07-23,.SHARIAH,2774.72,2797.70,2768.60,2787.53,116840000
2024-07-24,.SHARIAH,2787.53,2806.12,2768.83,2773.58,103430000
2024-07-28,.SHARIAH,2773.58,2786.64,2761.69,2766.36,55590000
2024-07-29,.SHARIAH,2766.36,2798.20,2758.83,2758.83,99650000
2024-07-30,.SHARIAH,2758.83,2794.14,2758.83,2791.76,127660000
2024-07-31,.SHARIAH,2791.76,2820.77,2789.65,2818.85,96940000
2024-08-01,.SHARIAH,2818.85,2836.04,2792.78,2792.78,136540000
2024-08-04,.SHARIAH,2792.78,2792.78,2678.71,2705.23,104250000
2024-08-05,.SHARIAH,2705.23,2705.23,2544.79,2636.92,143820000
2024-08-06,.SHARIAH,2636.92,2698.07,2636.92,2698.07,88040000
2024-08-07,.SHARIAH,2698.07,2736.30,2698.07,2735.31,139900000
2024-08-08,.SHARIAH,2735.31,2778.18,2721.05,2765.82,139480000
2024-08-11,.SHARIAH,2765.82,2857.23,2765.82,2847.14,138010000
2024-08-12,.SHARIAH,2847.14,2897.66,2843.69,2856.32,165240000
2024-08-13,.SHARIAH,2856.32,2886.97,2823.50,2825.05,73970000
2024-08-14,.SHARIAH,2825.05,2861.55,2825.05,2848.72,101290000
