filename,ticker,matched_company_name,confidence
EGX Bank Historical Data.csv,.EGBANK,EGX Bank Historical Data,1
EGX Basic R Historical Data.csv,.EGBASC,EGX Basic R Historical Data,1
EGX Build Materials Historical Data.csv,.EGBULM,EGX Build Materials Historical Data,1
EGX Consulting Engineers Historical Data.csv,.EGCOCE,EGX Consulting Engineers Historical Data,1
EGX Education Services Historical Data.csv,.EGEDUS,EGX Education Services Historical Data,1
EGX Food And Beverages Historical Data.csv,.EGFOBT,EGX Food And Beverages Historical Data,1
EGX Health Index Historical Data.csv,.EGHLTH,EGX Health Index Historical Data,1
EGX Industrial Services Historical Data.csv,.EGIGSA,EGX Industrial Services Historical Data,1
EGX Imcs Historical Data.csv,.EGIMCS,EGX Imcs Historical Data,1
EGX Nonbank Fintech Historical Data.csv,.EGNBFC,EGX Nonbank Fintech Historical Data,1
EGX Shipping Historical Data.csv,.EGSHTS,EGX Shipping Historical Data,1
EGX Text Double Historical Data.csv,.EGTEDU,EGX Text Double Historical Data,1
EGX Tarding Distributors Historical Data.csv,.EGTRDB,EGX Tarding Distributors Historical Data,1
EGX Travel Historical Data.csv,.EGTRVL,EGX Travel Historical Data,1
EGX 100 EWI Historical Data.csv,.EGX100EWI,EGX 100 EWI Historical Data,1
EGX 30 Historical Data.csv,.EGX30,EGX 30 Historical Data,1
EGX 30 Capped Historical Data.csv,.EGX30CAP,EGX 30 Capped Historical Data,1
EGX30 USD Historical Data.csv,.EGX30USD,EGX30 USD Historical Data,1
EGX35 Lv Index Historical Data.csv,.EGX35LV,EGX35 Lv Index Historical Data,1
EGX 70 EWI  Historical Data.csv,.EGX70EWI,EGX 70 EWI  Historical Data,1
EGX Treasury Bonds Historical Data.csv,.EGXTBONDS,EGX Treasury Bonds Historical Data,1
EGX 33 Shariah Compliant Index Historical Data.csv,.SHARIAH,EGX 33 Shariah Compliant Index Historical Data,1
Arab Co Asset Management Stock Price History.csv,ACAMD.CA,Arab Co Asset Management,1
A Capital Holding Stock Price History.csv,ACAP.CA,A Capital Holding,1
Arab Cotton Ginning Stock Price History.csv,ACGC.CA,Arab Cotton Ginning,1
Arab Develop Stock Price History.csv,ADRI.CA,Arab Development & Real Estate Investment,1
Acrow Misr Stock Price History.csv,ACRO.CA,Acrow Misr,1
Act Financial Stock Price History.csv,ACTF.CA,Act Financial,1
Abu Dhabi Islamic Bank Stock Price History.csv,ADIB.CA,Abu Dhabi Islamic Bank,1
ARAB DAIRY Stock Price History.csv,ADPC.CA,ARAB DAIRY,1
El Ahli Inv&Develop Stock Price History.csv,AFDI.CA,El Ahli Inv&Develop,0.5
Alexandria Flour Mills Stock Price History.csv,AFMC.CA,Alexandria Flour Mills,1
Arabia for Investment and Stock Price History.csv,AIDC.CA,Arabia for Investment and,1
Atlas Land Reclamation Stock Price History.csv,AIFI.CA,Atlas Land Reclamation,1
AJWA Food Industries Stock Price History.csv,AJWA.CA,AJWA Food Industries,1
Alexandria Containers&goods Stock Price History.csv,ALCN.CA,Alexandria Containers&goods,1
Alexandria Cement Stock Price History.csv,ALEX.CA,Alexandria Cement,1
Arab Aluminum Stock Price History.csv,ALUM.CA,Arab Aluminum,1
Egypt Aluminum Stock Price History.csv,EGAL.CA,Egypt Aluminum,1
Amer Group Holding Stock Price History.csv,AMER.CA,Amer Group Holding,1
Alexandria Medical Center Stock Price History.csv,AMES.CA,Alexandria Medical Center,1
Arab Moltaka Invest Stock Price History.csv,AMIA.CA,Arab Moltaka Invest,0.67
Alexandria Mineral Oils Stock Price History.csv,AMOC.CA,Alexandria Mineral Oils,1
Novida for Investment Tech Stock Price History.csv,AMPI.CA,Novida for Investment Tech,0.67
Arab Polvara Spinning Weaving Stock Price History.csv,APSW.CA,Arab Polvara Spinning Weaving,1
Arab Developers Holding Stock Price History.csv,ARAB.CA,Arab Developers Holding,1
Arabian Cement Co SAE Stock Price History.csv,ARCC.CA,Arabian Cement Co SAE,1
EGX Real Estate Historical Data.csv,.EGREAL,EGX Real Estate Historical Data,1
Egyptians Real Estate Fund Stock Price History.csv,EGREF.CA,Egyptians Real Estate Fund,1
First Investment and Real Estate Development Stock Price History.csv,FIRE.CA,First Investment and Real Estate Development,1
Marseilia Egyptian Gulf Real Estate Investment Stock Price History.csv,MAAL.CA,Marseilia Egyptian Gulf Real Estate Investment,1
Tanmiya for Real Estate Investment Stock Price History.csv,TANM.CA,Tanmiya for Real Estate Investment,1
Arab Valves Co Stock Price History.csv,ARVA.CA,Arab Valves Co,1
ASEC Co for Mining Stock Price History.csv,ASCM.CA,ASEC Co for Mining,1
Aspire Capital Holding for Financial Investments Stock Price History.csv,ASPI.CA,Aspire Capital Holding for Financial Investments,1
Holding Company for Fin Investments Stock Price History.csv,HCFI.CA,Holding Company for Fin Investments,0.5
Al Tawfeek Leasing Stock Price History.csv,ATLC.CA,Al Tawfeek Leasing,1
Misr National Steel Stock Price History.csv,ATQA.CA,Misr National Steel,1
El Bader Plastic Co Stock Price History.csv,BIDI.CA,El Bader Plastic Co,1
B Investments Stock Price History.csv,BINV.CA,B Investments,1
Glaxo Smith Kline Stock Price History.csv,BIOC.CA,Glaxo Smith Kline,1
Bonyan Dev Trade Stock Price History.csv,BONY.CA,Bonyan Dev Trade,0.67
Beltone Financial Hld Stock Price History.csv,BTFH.CA,Beltone Financial Hld,1
Cairo Educational Svcs Stock Price History.csv,CAED.CA,Cairo Educational Svcs,0.67
Suez Canal Bank Stock Price History.csv,CANA.CA,Suez Canal Bank,1
Suez Canal Stock Price History.csv,SCTS.CA,Suez Canal,1
Qalaa Holdings Stock Price History.csv,CCAP.CA,Qalaa Holdings,1
Egyptian RE Group Stock Price History.csv,AREH.CA,Egyptian RE Group,1
